Datetime,Open,High,Low,Close,Volume,IsGap
2012-05-24 00:00:00-04:00,105.27,105.43,104.31,105.19,167357600,False
2012-05-25 00:00:00-04:00,105.15,105.44,104.59,104.85,135465600,False
2012-05-29 00:00:00-04:00,105.69,106.3,104.11,106.12,152883500,False
2012-05-30 00:00:00-04:00,105.21,106.11,104.36,104.58,162370400,False
2012-05-31 00:00:00-04:00,104.54,105.12,103.45,104.35,196186000,False
2012-06-01 00:00:00-04:00,102.71,104.37,101.72,101.72,253240900,False
2012-06-04 00:00:00-04:00,101.9,102.18,100.91,101.67,202545800,False
2012-06-05 00:00:00-04:00,101.47,102.59,101.42,102.44,164149400,False
2012-06-06 00:00:00-04:00,103.15,104.79,103.12,104.74,184202800,False
2012-06-07 00:00:00-04:00,105.93,105.98,104.59,104.81,184772700,False
2012-06-08 00:00:00-04:00,104.54,105.66,104.2,105.64,143915400,False
2012-06-11 00:00:00-04:00,106.49,106.55,104.19,104.3,169756100,False
2012-06-12 00:00:00-04:00,104.6,105.57,104.1,105.5,181931800,False
2012-06-13 00:00:00-04:00,105.19,105.85,104.46,104.82,172223900,False
2012-06-14 00:00:00-04:00,105.04,106.35,104.75,105.93,230615500,False
2012-06-15 00:00:00-04:00,106.41,107.11,106.19,107.02,169444500,False
2012-06-18 00:00:00-04:00,106.57,107.49,106.33,107.22,131360900,False
2012-06-19 00:00:00-04:00,107.77,108.7,107.2,108.26,137382600,False
2012-06-20 00:00:00-04:00,108.27,108.58,107.12,108.09,206451800,False
2012-06-21 00:00:00-04:00,108.21,108.32,105.57,105.66,205272200,False
2012-06-22 00:00:00-04:00,106.21,106.67,105.8,106.47,130029200,False
2012-06-25 00:00:00-04:00,105.35,105.39,104.39,104.77,146375700,False
2012-06-26 00:00:00-04:00,105.07,105.61,104.46,105.29,141634000,False
2012-06-27 00:00:00-04:00,105.64,106.45,105.28,106.24,108088000,False
2012-06-28 00:00:00-04:00,105.54,106.1,104.73,105.94,169242100,False
2012-06-29 00:00:00-04:00,107.86,108.72,107.58,108.58,212250900,False
2012-07-02 00:00:00-04:00,108.88,109.02,108.12,108.91,129524500,False
2012-07-03 00:00:00-04:00,108.88,109.7,108.77,109.62,80450000,False
2012-07-05 00:00:00-04:00,109.22,109.94,108.73,109.13,126177500,False
2012-07-06 00:00:00-04:00,108.08,108.32,107.58,108.09,151192100,False
2012-07-09 00:00:00-04:00,108.01,108.16,107.46,107.96,103780500,False
2012-07-10 00:00:00-04:00,108.51,108.68,106.65,107.02,167884800,False
2012-07-11 00:00:00-04:00,107.07,107.38,106.41,107.03,141733400,False
2012-07-12 00:00:00-04:00,106.41,107.09,105.79,106.51,143583200,False
2012-07-13 00:00:00-04:00,106.79,108.41,106.78,108.3,129642600,False
2012-07-16 00:00:00-04:00,108.05,108.36,107.62,108.05,97525200,False
2012-07-17 00:00:00-04:00,108.48,109.01,107.34,108.79,138860300,False
2012-07-18 00:00:00-04:00,108.53,109.81,108.47,109.59,113349700,False
2012-07-19 00:00:00-04:00,109.82,110.24,109.47,109.88,129847300,False
2012-07-20 00:00:00-04:00,109.26,109.43,108.76,108.87,142904500,False
2012-07-23 00:00:00-04:00,107.28,108.8,106.78,107.77,145210900,False
2012-07-24 00:00:00-04:00,107.85,107.9,106.13,106.85,173301200,False
2012-07-25 00:00:00-04:00,107.07,107.35,106.31,106.87,129122300,False
2012-07-26 00:00:00-04:00,108.41,108.87,107.91,108.64,156526500,False
2012-07-27 00:00:00-04:00,109.21,110.95,108.61,110.64,236768900,False
2012-07-30 00:00:00-04:00,110.51,111.16,110.31,110.64,106782000,False
2012-07-31 00:00:00-04:00,110.49,110.79,109.86,109.86,120575900,False
2012-08-01 00:00:00-04:00,110.65,110.68,109.62,109.77,138293800,False
2012-08-02 00:00:00-04:00,108.94,109.75,108.16,109.01,199556600,False
2012-08-03 00:00:00-04:00,110.54,111.4,109.04,111.17,157825000,False
2012-08-06 00:00:00-04:00,111.47,111.83,111.34,111.39,86326200,False
2012-08-07 00:00:00-04:00,111.83,112.43,111.72,111.95,109545100,False
2012-08-08 00:00:00-04:00,111.57,112.21,111.54,112.08,89754700,False
2012-08-09 00:00:00-04:00,111.92,112.4,111.81,112.18,90291700,False
2012-08-10 00:00:00-04:00,111.72,112.4,111.54,112.36,99792700,False
2012-08-13 00:00:00-04:00,112.17,112.36,111.72,112.31,79426900,False
2012-08-14 00:00:00-04:00,112.72,112.79,111.99,112.32,102379400,False
2012-08-15 00:00:00-04:00,112.2,112.64,112.13,112.45,71085900,False
2012-08-16 00:00:00-04:00,112.61,113.41,112.33,113.28,112014200,False
2012-08-17 00:00:00-04:00,113.47,113.53,113.18,113.43,90813700,False
2012-08-20 00:00:00-04:00,113.27,113.46,112.96,113.44,78255700,False
2012-08-21 00:00:00-04:00,113.72,114.16,112.85,113.1,105581100,False
2012-08-22 00:00:00-04:00,112.81,113.33,112.54,113.14,133243500,False
2012-08-23 00:00:00-04:00,112.86,112.87,112.04,112.22,111466400,False
2012-08-24 00:00:00-04:00,111.94,113.15,111.87,112.9,99481200,False
2012-08-27 00:00:00-04:00,113.2,113.35,112.76,112.92,68785900,False
2012-08-28 00:00:00-04:00,112.63,113.16,112.46,112.81,75689600,False
2012-08-29 00:00:00-04:00,112.9,113.2,112.58,112.9,65421300,False
2012-08-30 00:00:00-04:00,112.41,112.44,111.84,112.08,96589900,False
2012-08-31 00:00:00-04:00,112.72,113.14,111.98,112.62,151970400,False
2012-09-04 00:00:00-04:00,112.52,112.86,111.79,112.51,120226200,False
2012-09-05 00:00:00-04:00,112.56,112.86,112.19,112.42,100660300,False
2012-09-06 00:00:00-04:00,113.1,114.71,113.09,114.7,158272500,False
2012-09-07 00:00:00-04:00,114.89,115.19,114.79,115.15,107272100,False
2012-09-10 00:00:00-04:00,115.03,115.23,114.45,114.49,86458500,False
2012-09-11 00:00:00-04:00,114.56,115.18,114.53,114.81,88760000,False
2012-09-12 00:00:00-04:00,115.19,115.32,114.8,115.19,87640900,False
2012-09-13 00:00:00-04:00,115.18,117.31,114.87,116.95,225470200,False
2012-09-14 00:00:00-04:00,117.18,118.16,117.08,117.47,169777000,False
2012-09-17 00:00:00-04:00,117.23,117.43,116.77,117.07,119427800,False
2012-09-18 00:00:00-04:00,116.87,117.12,116.68,116.97,98326600,False
2012-09-19 00:00:00-04:00,117.11,117.41,116.8,117.04,128318300,False
2012-09-20 00:00:00-04:00,116.5,117.11,116.18,117.04,154009800,False
2012-09-21 00:00:00-04:00,117.61,117.64,116.95,117.0,108737500,False
2012-09-24 00:00:00-04:00,116.42,117.08,116.33,116.82,95682000,False
2012-09-25 00:00:00-04:00,117.07,117.29,115.54,115.58,133165200,False
2012-09-26 00:00:00-04:00,115.55,115.58,114.65,114.93,146502200,False
2012-09-27 00:00:00-04:00,115.41,116.27,115.1,116.01,111830300,False
2012-09-28 00:00:00-04:00,115.57,115.94,115.06,115.47,150696100,False
2012-10-01 00:00:00-04:00,115.91,116.85,115.5,115.78,135911200,False
2012-10-02 00:00:00-04:00,116.23,116.42,115.36,115.9,113422200,False
2012-10-03 00:00:00-04:00,116.21,116.64,115.6,116.37,121283100,False
2012-10-04 00:00:00-04:00,116.81,117.37,116.65,117.2,124311600,False
2012-10-05 00:00:00-04:00,117.83,118.03,116.86,117.21,124842100,False
2012-10-08 00:00:00-04:00,116.78,117.2,116.55,116.81,78415400,False
2012-10-09 00:00:00-04:00,116.72,116.82,115.62,115.66,148872900,False
2012-10-10 00:00:00-04:00,115.64,115.75,114.77,114.92,124247500,False
2012-10-11 00:00:00-04:00,115.72,115.89,114.96,114.98,123601500,False
2012-10-12 00:00:00-04:00,115.06,115.46,114.36,114.61,124181900,False
2012-10-15 00:00:00-04:00,114.88,115.68,114.51,115.56,107689100,False
2012-10-16 00:00:00-04:00,116.11,116.81,116.02,116.73,108815500,False
2012-10-17 00:00:00-04:00,116.81,117.36,116.63,117.26,128834100,False
2012-10-18 00:00:00-04:00,116.96,117.52,116.56,116.96,148108500,False
2012-10-19 00:00:00-04:00,116.74,116.75,114.73,115.01,185645200,False
